id;first_name;last_name;email;phone_number;hire_date;salary;commission_pct
1;Deangelo;McLaughlin;Armando.Ruecker@hotmail.com;transmitter;2019-08-11T05:04:24;47030;63230
2;Wilmer;Nader;Kailee79@yahoo.com;Gloves Bedfordshire Argentine Peso;2019-08-10T17:17:59;59089;32595
3;Marianne;Erdman;Merl.Langosh34@gmail.com;Rustic Quality;2019-08-11T04:21:30;38673;51775
4;Trent;Smitham;Mariah.Hayes20@gmail.com;Tanzania Fiji Dollar Profound;2019-08-11T09:42:04;81722;98216
5;Kaylah;Larkin;Devin.Fisher96@yahoo.com;Virginia THX pink;2019-08-11T07:12:26;34920;70035
6;Mohammed;Stamm;Russel_Torphy@hotmail.com;invoice Unbranded Cheese;2019-08-10T16:20:06;66898;60642
7;Kris;Altenwerth;Barry_Weimann@yahoo.com;clear-thinking;2019-08-11T06:34:17;54873;48561
8;Mathew;King;Zane71@yahoo.com;Networked;2019-08-11T06:05:26;17882;74649
9;Frederick;O'Connell;Rosina.Reichel@hotmail.com;Benin Berkshire;2019-08-10T22:37:41;26520;25046
10;Dee;McKenzie;Wilfred_Huel@hotmail.com;withdrawal cross-platform Borders;2019-08-11T00:03:16;66892;49251
